Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Cs,6p-,7s,4.2430,0.0121,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p-,5d-,7.1000,0.1000,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p-,6s,4.5067,0.0040,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,6p-,7s,4.2559,0.0030,CCSDT+Br+QED,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021).",
Cs,6p-,5d-,7.291,0.067,CCSDpT,2016,"[1] B. K. Sahoo, Phys. Rev. A 93, 022503 (2016).",
Cs,6p-,5d-,7.0127,,CCSDpT,2004,"M. Safronova and C. Clark, Phys. Rev. A 69, 040501 (2004).",
Cs,6p-,6s,4.4978,0.0061,Expt.,1994,"R. J. Rafac, C. E. Tanner, A. E. Livingston, K. W. Kukla, H. G. Berry, and C. A. Kurtz, Phys. Rev. A 50, R1976 (1994)",
Cs,6p-,6s,4.489,0.0065,Expt.,1999,"R. J. Rafac, C. E. Tanner, A. E. Livingston, H. G. Berry, Phys. Rev. A 60, 3648 (1999)",
Cs,6p-,6s,4.5097,0.0074,Expt.,1994,"L. Young, W. T. Hill III, S. J. Sibener, S. D. Price, C. E. Tanner, C. E. Wieman, and S. R. Leone, Phys. Rev. A 50, 2174 (1994).",
Cs,6p-,6s,4.5057,0.0016,Expt + Weighted Avg.,2019,"G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019)",
Cs,6p-,7s,4.249,0.004,Expt.,2019,"George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)",
Cs,6p-,7s,4.233,0.022,Expt. + Th (??),,"M.-A. Bouchiat, J. Gue´na, and L. Pottier, J. Phys. (France) Lett. 45, L523 (1984); V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p-,5d-,7.283,0.060,Expt+Theory,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)","Note: These measurements are in tension with polarisability measurements, and are likely wrong!"
Cs,6p+,6s,6.325,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p+,7s,6.507,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p+,6s,6.382,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,6p+,7s,6.479,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,6p+,6s,6.3300,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
